Player,Salary
Henri Drell,389274
Alex Fudge,376405
Vit Krejci,369971
Brandon Williams,350668
Trey Jemison,341017
Jason Preston,315280
Nerlens Noel,300000
Tosan Evbuomwan,295977
Scottie Pippen Jr,289542
Malcolm Hill,286583
Ashton Hagans,270841
Jeff Dowtin,269237
Didi Louzada,268032
Javonte Green,261293
Justin Champagnie,254412
Jaylen Martin,249766
Pete Nance,244503
Lindell Wigginton,244502
D'Moi Hodge,241285
Armoni Brooks,241285
Jahmi'us Ramsey,232150
Charles Bediako,215548
Mason Jones,212331
Alondes Williams,212331
Dexter Dennis,212331
Zavier Simpson,207100
DeJon Jarreau,207100
DJ Carton,205897
Adam Flagler,205897
Danny Green,202074
Mouhamadou Gueye,199463
Ja'Vonte Smart,196245
Miles Norris,193028
Justin Lewis,173725
Jamaree Bouyea,170801
Pat Spencer,170508
Sir'Jabari Rice,167291
Buddy Boeheim,167291
Justise Winslow,166176
Andrew Funk,160857
Nathan Knight,160857
John Butler,147988
Ron Harper Jr,147988
Justin Jackson,145301
Shaquille Harrison,145301
RaiQuan Gray,141554
Jaylin Galloway,141554
Quenton Jackson,135120
Hamidou Diallo,134863
DJ Wilson,134863
Matthew Hurt,128686
Maozinha Pereira,128685
Wenyen Gabriel,124425
Kobi Simmons,120250
Zhaire Smith,116075
Sharife Cooper,103550
Demetrius Jackson,92857
Malik Williams,77212
Omari Moore,75000
Taze Moore,70687
Taevion Kinsey,64343
Izaiah Brockington,64343
Jalen Crutcher,64343
Timmy Allen,64343
Edmond Sumner,40459
Kaiser Gates,35389
