Player Name,Archetype,Total MP,Total 3P,Total 3PA,Total 2P,Total 2PA,Total FT,Total FTA,Total ORB,Total DRB,Total AST,Total STL,Total BLK,Total TOV,Total PF,Total PTS
Landry Shamet,2,726.8000000000001,55.199999999999996,156.4,64.39999999999999,115.0,36.800000000000004,46.0,13.799999999999999,46.0,55.199999999999996,23.0,9.200000000000001,32.199999999999996,78.2,326.59999999999997
Larry Nance Jr.,2,1213.8999999999999,24.400000000000002,67.10000000000001,109.8,176.9,48.800000000000004,61.0,91.5,213.5,115.89999999999999,61.0,18.3,48.800000000000004,97.60000000000001,347.7
Lonnie Walker IV,2,1009.1999999999999,104.4,272.6,104.4,220.39999999999998,46.400000000000006,58.0,11.600000000000001,116.0,75.4,34.8,17.4,52.2,69.6,562.5999999999999
Luke Kennard,2,998.4000000000001,105.30000000000001,237.89999999999998,35.1,78.0,39.0,46.8,11.7,101.4,136.5,19.5,3.9000000000000004,54.599999999999994,39.0,429.0
Luke Kornet,2,982.8,0.0,0.0,138.60000000000002,201.60000000000002,50.400000000000006,56.7,119.69999999999999,144.89999999999998,69.30000000000001,25.200000000000003,63.0,18.9,75.6,333.9
Malaki Branham,2,1597.5,90.0,270.0,180.0,360.0,52.5,60.0,30.0,120.0,157.5,30.0,7.5,90.0,97.5,690.0
Malcolm Brogdon,2,1119.3,81.9,198.89999999999998,136.5,296.4,93.6,117.0,27.299999999999997,120.9,214.5,27.299999999999997,7.800000000000001,58.5,58.5,612.3
Marcus Morris,2,1634.6999999999998,98.0,235.2,138.5,291.7,68.7,89.5,47.8,225.6,69.8,31.9,28.2,58.7,145.9,631.1
Marcus Sasser,2,1349.0,92.3,241.4,127.8,269.8,56.800000000000004,63.9,14.200000000000001,113.60000000000001,234.29999999999998,42.6,14.200000000000001,92.3,106.5,589.3000000000001
Marcus Smart,2,606.0,42.0,134.0,60.0,104.0,44.0,56.0,6.0,48.0,86.0,42.0,6.0,62.0,54.0,290.0
Mark Williams,2,507.3,0.0,0.0,98.8,150.1,45.6,64.6,76.0,108.3,22.8,15.200000000000001,20.900000000000002,17.1,49.4,241.29999999999998
Markelle Fultz,2,911.6,4.3,17.2,150.5,309.6,21.5,34.4,55.9,81.7,120.39999999999999,43.0,12.9,51.6,64.5,335.4
Mason Plumlee,2,676.1999999999999,0.0,4.6000000000000005,87.39999999999999,147.20000000000002,69.0,101.2,59.800000000000004,174.79999999999998,55.199999999999996,13.799999999999999,18.400000000000002,36.800000000000004,69.0,243.79999999999998
Matisse Thybulle,2,1488.5,78.0,234.0,45.5,84.5,19.5,26.0,32.5,104.0,91.0,110.5,52.0,39.0,91.0,351.0
Max Christie,2,944.6999999999999,40.199999999999996,120.60000000000001,60.300000000000004,120.60000000000001,33.5,46.9,13.4,127.3,60.300000000000004,20.099999999999998,20.099999999999998,33.5,60.300000000000004,281.40000000000003
Maxi Kleber,2,872.9,30.099999999999998,90.3,30.099999999999998,55.9,34.4,47.300000000000004,30.099999999999998,111.8,68.8,17.2,30.099999999999998,30.099999999999998,77.4,189.20000000000002
Mike Muscala,2,1200.1000000000001,55.5,190.8,54.7,118.30000000000001,32.9,51.2,75.5,171.50000000000003,73.89999999999999,19.6,24.6,45.4,105.2,318.1
Miles McBride,2,1326.0,108.80000000000001,265.2,95.19999999999999,190.39999999999998,40.8,47.599999999999994,34.0,68.0,115.6,47.599999999999994,6.800000000000001,27.200000000000003,108.80000000000001,564.4000000000001
Mitchell Robinson,2,768.8000000000001,0.0,0.0,74.39999999999999,127.1,27.900000000000002,65.10000000000001,142.6,120.89999999999999,18.599999999999998,37.199999999999996,34.1,24.8,55.800000000000004,173.6
Mo Bamba,2,741.0,22.8,62.7,74.10000000000001,136.79999999999998,34.199999999999996,51.300000000000004,79.8,159.6,39.9,22.8,62.7,39.9,102.60000000000001,250.8
Monte Morris,2,950.7,52.5,139.5,70.80000000000001,166.8,25.200000000000003,37.8,13.8,100.2,139.2,39.9,19.2,13.8,27.900000000000002,329.7
Moses Moody,2,1155.0,72.60000000000001,198.0,118.8,217.79999999999998,72.60000000000001,92.39999999999999,66.0,132.0,59.4,39.6,26.400000000000002,46.199999999999996,92.39999999999999,534.6
Naji Marshall,2,1254.0,59.4,151.79999999999998,112.2,217.79999999999998,66.0,85.8,52.800000000000004,184.79999999999998,125.39999999999999,46.199999999999996,13.200000000000001,66.0,92.39999999999999,468.59999999999997
Nikola Jovi?,2,897.0,64.39999999999999,161.0,59.800000000000004,119.60000000000001,32.199999999999996,46.0,23.0,165.6,92.0,23.0,13.799999999999999,41.4,82.8,354.2
Omer Yurtseven,2,547.2,4.800000000000001,24.0,96.0,158.39999999999998,19.200000000000003,28.799999999999997,72.0,134.39999999999998,28.799999999999997,9.600000000000001,19.200000000000003,38.400000000000006,52.800000000000004,220.79999999999998
Onyeka Okongwu,2,1402.5,22.0,71.5,198.0,297.0,93.5,115.5,143.0,231.0,71.5,27.5,60.50000000000001,44.0,159.5,561.0
P.J. Tucker,2,972.7,25.700000000000003,70.0,11.8,29.5,5.9,5.9,56.8,113.5,32.3,32.5,13.9,17.0,106.5,103.5
Pat Connaughton,2,1679.6000000000001,83.60000000000001,235.6,68.4,106.39999999999999,45.6,60.800000000000004,53.199999999999996,190.0,159.6,38.0,22.8,45.6,98.8,425.59999999999997
Patrick Williams,2,1173.9,60.199999999999996,146.2,98.89999999999999,210.70000000000002,51.6,64.5,47.300000000000004,120.39999999999999,64.5,38.7,34.4,55.9,86.0,430.0
Patty Mills,2,830.6,49.3,173.9,43.7,89.2,20.0,20.0,19.2,51.2,68.0,39.1,1.9000000000000001,31.4,64.7,254.7
Peyton Watson,2,1488.0,48.0,152.0,160.0,296.0,72.0,104.0,56.0,200.0,88.0,40.0,88.0,56.0,144.0,536.0
Richaun Holmes,2,1110.8,1.7000000000000002,7.4,159.79999999999998,288.8,69.6,94.2,141.6,224.3,50.3,22.8,39.4,47.4,149.0,398.9
Robert Covington,2,974.8000000000001,40.599999999999994,110.0,47.5,83.1,44.900000000000006,51.6,62.6,132.5,48.3,77.5,35.099999999999994,22.0,111.39999999999999,253.60000000000002
Sam Merrill,2,1067.5,140.29999999999998,353.8,12.200000000000001,36.6,24.400000000000002,30.5,24.400000000000002,97.60000000000001,109.8,18.3,6.1000000000000005,18.3,73.2,488.0
Scotty Pippen Jr.,2,527.1,29.4,71.39999999999999,69.3,130.20000000000002,42.0,54.6,21.0,44.1,98.7,35.699999999999996,10.5,56.7,60.9,270.90000000000003
Seth Curry,2,1232.4,77.2,217.2,86.0,192.8,55.599999999999994,60.8,35.2,97.2,87.2,44.8,11.200000000000001,41.2,79.2,451.19999999999993
Shaedon Sharpe,2,1059.2,60.8,179.2,115.2,252.8,99.2,118.4,41.6,118.4,92.8,28.8,12.8,73.6,89.6,508.8
Shake Milton,2,1161.2,38.800000000000004,126.6,122.80000000000001,260.40000000000003,76.4,98.6,29.2,125.2,122.0,37.6,9.8,58.599999999999994,108.80000000000001,432.6
Skylar Mays,2,866.7,31.6,106.6,94.0,209.9,24.0,32.0,21.5,66.60000000000001,169.4,44.3,7.6000000000000005,39.6,54.4,310.2
Talen Horton-Tucker,2,1009.8000000000001,61.199999999999996,183.6,122.39999999999999,280.5,86.7,107.10000000000001,20.400000000000002,102.0,178.5,45.9,20.400000000000002,66.3,91.8,515.1
Tari Eason,2,479.6,17.6,50.599999999999994,70.4,138.6,22.0,33.0,46.2,107.80000000000001,26.4,30.799999999999997,19.8,19.8,50.599999999999994,215.60000000000002
Taylor Hendricks,2,856.0,52.0,140.0,56.0,100.0,24.0,28.0,48.0,140.0,32.0,28.0,32.0,28.0,76.0,292.0
Thaddeus Young,2,877.5,0.0,14.5,126.6,202.8,12.200000000000001,31.0,93.1,113.1,113.7,46.5,10.9,32.0,99.6,276.6
Torrey Craig,2,1049.4,58.300000000000004,153.7,47.7,95.4,26.5,37.099999999999994,68.9,148.39999999999998,58.300000000000004,31.799999999999997,21.200000000000003,31.799999999999997,111.30000000000001,302.1
Trayce Jackson-Davis,2,1128.8000000000002,0.0,0.0,231.2,333.20000000000005,74.80000000000001,129.2,136.0,204.0,81.6,27.200000000000003,74.80000000000001,47.599999999999994,108.80000000000001,537.2
Trendon Watford,2,856.8,25.200000000000003,69.30000000000001,138.60000000000002,245.7,75.6,94.5,50.400000000000006,144.89999999999998,81.9,25.200000000000003,18.9,63.0,107.1,434.70000000000005
Trey Jemison,2,1146.1999999999998,0.0,0.0,150.89999999999998,270.70000000000005,40.7,50.3,129.39999999999998,140.0,55.1,24.0,55.1,68.19999999999999,139.0,340.20000000000005
Trey Lyles,2,1160.0,81.19999999999999,220.39999999999998,58.0,104.4,46.400000000000006,69.6,63.800000000000004,197.2,69.6,17.4,17.4,40.599999999999994,87.0,417.6
Troy Brown Jr.,2,1654.7,92.2,283.9,73.0,166.5,61.2,73.0,49.400000000000006,238.8,116.5,46.4,9.600000000000001,59.0,82.6,495.6
Wendell Carter Jr.,2,1408.0,66.0,170.5,159.5,252.99999999999997,93.5,132.0,110.0,269.5,93.5,33.0,27.5,66.0,121.00000000000001,605.0
Yuta Watanabe,2,927.1999999999999,48.0,170.4,33.6,62.800000000000004,18.9,33.5,21.8,88.0,27.3,25.3,12.600000000000001,40.8,77.2,233.0
Zach LaVine,2,872.5,60.0,170.0,110.00000000000001,207.50000000000003,87.5,102.49999999999999,7.5,120.0,97.5,20.0,7.5,52.5,57.49999999999999,487.5
Zeke Nnaji,2,574.2,5.800000000000001,23.200000000000003,63.800000000000004,127.60000000000001,40.599999999999994,63.800000000000004,63.800000000000004,63.800000000000004,34.8,17.4,40.599999999999994,29.0,81.19999999999999,185.60000000000002
Ziaire Williams,2,1040.3999999999999,56.1,188.70000000000002,91.8,188.70000000000002,61.199999999999996,76.5,35.699999999999996,142.79999999999998,76.5,35.699999999999996,10.200000000000001,66.3,86.7,418.2
